Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Albania,2023.0,SPO-AL0203A_00001_100,AL0203A,20.78018,40.62593,848.0,suburban,background,STA-AL0203A
Albania,2023.0,SPO-AL0205A_00001_100,AL0205A,19.4492,41.3199,1.0,urban,traffic,STA-AL0205A
Albania,2023.0,SPO-AL0206A_00001_100,AL0206A,19.52342,42.3139,13.0,urban,background,STA-AL0206A
Albania,2023.0,SPO-AL0207A_00001_100,AL0207A,20.0817,41.11098,150.0,urban,traffic,STA-AL0207A
Bosnia and Herzegovina,2023.0,SPO-BA0029A_00001_100,BA0029A,18.42306,43.8675,630.0,urban,background,STA-BA0029A
Bosnia and Herzegovina,2023.0,SPO-BA0031A_00001_100,BA0031A,18.67334,44.54055,220.0,urban,traffic,STA-BA0031A
Bosnia and Herzegovina,2023.0,SPO-BA0040A_00001_100,BA0040A,17.2679,44.343,421.0,urban,background,STA-BA0040A
Bosnia and Herzegovina,2023.0,SPO-BA0047A_00001_100,BA0047A,17.59,45.07,88.0,urban,industrial,STA-BA0047A
Bosnia and Herzegovina,2023.0,SPO-BA0048A_00001_100,BA0048A,16.71,44.97,133.0,urban,background,STA-BA0048A
Bosnia and Herzegovina,2023.0,SPO-BA0042A_00001_100,BA0042A,18.3637,43.8484,512.0,urban,background,STA-BA0042A
Bosnia and Herzegovina,2023.0,SPO-BA0043A_00001_100,BA0043A,18.3111,43.8301,498.0,urban,background,STA-BA0043A
Bosnia and Herzegovina,2023.0,SPO-BA0050A_00001_100,BA0050A,18.2693,43.96,459.0,urban,background,STA-BA0050A
Bosnia and Herzegovina,2023.0,SPO-BA0045A_00001_100,BA0045A,18.5347,44.5332,187.0,urban,industrial,STA-BA0045A
Bosnia and Herzegovina,2023.0,SPO-BA0039A_00001_100,BA0039A,17.932,44.1952,332.0,urban,background,STA-BA0039A
Belgium,2024.0,SPO-BETB001_00001_100,BETB001,4.36811,50.84578,64.0,urban,traffic,STA-BETB001
Belgium,2024.0,SPO-BETB004_00007_100,BETB004,4.34778,50.85206,17.0,urban,background,STA-BETB004
Belgium,2024.0,SPO-BETB006_00007_100,BETB006,4.37439,50.83864,67.0,urban,background,STA-BETB006
Belgium,2024.0,SPO-BETB011_00001_100,BETB011,4.28871,50.85781,66.0,suburban,background,STA-BETB011
Belgium,2024.0,SPO-BETMEU1_00001_100,BETMEU1,4.39572,50.895,34.0,suburban,background,STA-BETMEU1
Belgium,2024.0,SPO-BETN043_00001_100,BETN043,4.38298,50.88369,17.0,suburban,industrial,STA-BETN043
Belgium,2024.0,SPO-BETR001_00001_100,BETR001,4.3341,50.84971,20.0,urban,background,STA-BETR001
Belgium,2024.0,SPO-BETR002_00001_100,BETR002,4.38456,50.82513,76.0,urban,traffic,STA-BETR002
Belgium,2024.0,SPO-BETR012_00001_100,BETR012,4.35862,50.79665,101.0,suburban,background,STA-BETR012
Belgium,2024.0,SPO-BETWOL1_00001_100,BETWOL1,4.42576,50.85671,78.0,suburban,traffic,STA-BETWOL1
Belgium,2024.0,SPO-BELAL01_00005_100,BELAL01,4.38522,51.23619,0.0,suburban,industrial,STA-BELAL01
Belgium,2024.0,SPO-BELHB23_00001_100,BELHB23,4.34093,51.17029,13.0,suburban,industrial,STA-BELHB23
