idx,AirQualityStation,img_path,Month,Altitude,s5p_path,rural,rural-nearcity,rural-regional,suburban,urban,background,industrial,traffic,tavg,prcp,wspd,pres,tsun,co,so2,pm10,o3,no2
1,STA_ES2063A_0,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,3,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.9,238.0,11.0,1023.7,8760.0,0.166005547850208,1.0108333333333333,28.32499999869185,31.96671289791956,30.412205269986128
2,STA_ES2063A_1,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,4,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.9,40.0,10.9,1024.5,9180.0,0.144265625,1.012968749984375,35.43661740482759,46.23140624960938,31.687479674146346
3,STA_ES2063A_2,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,6,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.9,247.0,12.8,1013.4,10080.0,0.1739544807823613,1.0012857142857143,17.681740369400856,70.77140825029872,14.179516357297295
4,STA_ES2063A_3,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,7,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.3,27.0,13.7,1017.3,19140.0,0.1311502029769959,1.0024357239512856,17.620297697943165,66.14465493909337,14.1083897144249
5,STA_ES2063A_4,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,8,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.0,40.0,11.2,1016.6,14040.0,0.1738990181626928,1.0036516853932584,14.304734574892397,54.44207573626929,11.520336604291725
6,STA_ES2063A_5,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,9,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.5,15.0,10.8,1015.5,18180.0,0.1163043478260869,1.0,20.31729428046025,39.351248164170336,13.684646737744565
7,STA_ES2063A_6,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,10,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.8,48.0,11.0,1017.5,15780.0,0.1281657608695652,1.0076190476190476,17.178639453959185,32.412395542729804,14.287689968130698
8,STA_ES2063A_7,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,11,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.7,54.0,11.8,1018.8,14760.0,0.1356582633053221,2.8401960764565826,21.420257233745986,38.36974789880953,21.56414565752101
9,STA_ES2063A_8,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,12,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,200.0,11.0,1017.4,7500.0,0.1308163265306122,1.034149659809524,20.13592896035519,32.10435374096598,22.580952380054423
10,STA_ES2063A_9,STA_ES2063A/S2A_MSIL2A_20200519T112121_N0214_R037_T29TNG_20200519T141241.npy,13,30.0,STA_ES2063A/l3_mean_monthly_europe_2018_2020_005dg.netcdf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.9,460.0,13.8,1013.3,2520.0,0.1295238095238095,1.1047619046897548,22.95772005660895,37.532323232049066,22.32121212030303
